127.0.0.1 - - [28/Aug/2019:12:28:00 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Aug/2019:12:28:07 +0530] "GET /Ecom/First.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [28/Aug/2019:12:28:07 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Aug/2019:12:29:36 +0530] "GET /Ecom/First.html HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:00:09 +0530] "GET /Ecom/First.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:00:10 +0530] "GET /Ecom/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:00:11 +0530] "GET /Ecom/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:00:11 +0530] "GET /Ecom/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:00:13 +0530] "GET /Ecom/First.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:00:13 +0530] "GET /Ecom/First.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:00:14 +0530] "GET /Ecom/First.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:00:14 +0530] "GET /Ecom/First.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:00:14 +0530] "GET /Ecom/First.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:00:29 +0530] "GET /Ecom/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:01:40 +0530] "GET /Ecom/First.html HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:01:40 +0530] "GET /Ecom/b1.jpg HTTP/1.1" 200 22741
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:36:41 +0530] "GET /Ecom/First.jsp HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [28/Aug/2019:13:36:41 +0530] "GET /Ecom/b1.jpg HTTP/1.1" 304 -
